District_Code,Area_Name,Total_Rural_Urban,Age_Group,Population_Persons,Population_Males,Population_Females,Main_Workers_Persons,Main_Workers_Males,Main_Workers_Females,Marginal_0_to_6_Persons,Marginal_0_to_6_Males,Marginal_0_to_6_Females,Marginal_Seeking_Persons,Marginal_Seeking_Males,Marginal_Seeking_Females,Non_Workers_Total_Persons,Non_Workers_Total_Males,Non_Workers_Total_Females,Non_Workers_Seeking_Persons,Non_Workers_Seeking_Males,Non_Workers_Seeking_Females
1,Nandurbar,Rural,05-09,150544,76982,73562,1096,592,504,1872,821,1051,206,98,108,147576,75569,72007,734,371,363
1,Nandurbar,Rural,10-14,145323,76223,69100,10006,4899,5107,13914,5861,8053,2624,1267,1357,121403,65463,55940,1607,828,779
1,Nandurbar,Rural,15-19,103968,54363,49605,31533,16829,14704,22874,9187,13687,8562,4102,4460,49561,28347,21214,5594,3442,2152
1,Nandurbar,Rural,20-24,86222,41964,44258,47419,27502,19917,20642,6881,13761,8567,4115,4452,18161,7581,10580,3470,2215,1255
1,Nandurbar,Rural,25-29,81804,39877,41927,54011,33110,20901,17916,5273,12643,7018,3221,3797,9877,1494,8383,1387,579,808
1,Nandurbar,Rural,30-34,77456,37419,40037,54905,33098,21807,15422,3838,11584,5688,2316,3372,7129,483,6646,657,189,468
1,Nandurbar,Rural,35-39,75552,38550,37002,55320,34759,20561,13867,3456,10411,4840,1975,2865,6365,335,6030,530,98,432
1,Nandurbar,Rural,40-49,104282,54284,49998,76595,49326,27269,17966,4337,13629,5332,2107,3225,9721,621,9100,601,110,491
1,Nandurbar,Rural,50-59,61150,30818,30332,40947,26852,14095,10967,2720,8247,2472,1004,1468,9236,1246,7990,434,95,339
1,Nandurbar,Rural,60-69,55284,24480,30804,25033,16473,8560,8905,2809,6096,1242,549,693,21346,5198,16148,564,160,404
1,Nandurbar,Rural,70-79,19973,9185,10788,5280,3995,1285,2132,996,1136,212,123,89,12561,4194,8367,183,63,120
1,Nandurbar,Rural,80+,5411,2369,3042,983,691,292,301,135,166,43,23,20,4127,1543,2584,21,7,14
1,Nandurbar,Urban,05-09,22695,11836,10859,101,69,32,31,17,14,4,3,1,22563,11750,10813,121,62,59
1,Nandurbar,Urban,10-14,26296,14010,12286,527,353,174,218,124,94,50,29,21,25551,13533,12018,321,200,121
1,Nandurbar,Urban,15-19,22870,12174,10696,2829,2336,493,632,398,234,234,156,78,19409,9440,9969,1341,947,394
1,Nandurbar,Urban,20-24,19302,10364,8938,6125,5502,623,790,510,280,321,249,72,12387,4352,8035,1896,1375,521
1,Nandurbar,Urban,25-29,16256,7901,8355,7324,6440,884,651,328,323,253,164,89,8281,1133,7148,883,548,335
1,Nandurbar,Urban,30-34,14912,7523,7389,8077,6969,1108,574,233,341,230,130,100,6261,321,5940,315,160,155
1,Nandurbar,Urban,35-39,14473,7216,7257,8040,6847,1193,529,189,340,195,106,89,5904,180,5724,165,72,93
1,Nandurbar,Urban,40-49,20939,11366,9573,12469,10787,1682,686,296,390,189,105,84,7784,283,7501,148,35,113
1,Nandurbar,Urban,50-59,11160,6010,5150,6010,5248,762,350,148,202,82,43,39,4800,614,4186,76,29,47
1,Nandurbar,Urban,60-69,9114,4008,5106,2533,2065,468,277,129,148,40,18,22,6304,1814,4490,58,20,38
1,Nandurbar,Urban,70-79,4015,1855,2160,724,617,107,71,39,32,13,5,8,3220,1199,2021,21,9,12
1,Nandurbar,Urban,80+,1186,485,701,138,123,15,11,2,9,1,0,1,1037,360,677,2,0,2
2,Dhule,Rural,05-09,147017,76025,70992,911,532,379,1115,517,598,115,62,53,144991,74976,70015,816,424,392
2,Dhule,Rural,10-14,157151,82897,74254,7812,4268,3544,9290,4177,5113,1377,693,684,140049,74452,65597,1606,884,722
2,Dhule,Rural,15-19,123918,69548,54370,31976,20165,11811,19537,8928,10609,6316,3977,2339,72405,40455,31950,9159,6330,2829
2,Dhule,Rural,20-24,106072,57651,48421,55576,36315,19261,21789,8540,13249,8289,5330,2959,28707,12796,15911,7026,5071,1955
2,Dhule,Rural,25-29,90517,44827,45690,58108,37432,20676,17949,5081,12868,5901,3126,2775,14460,2314,12146,2572,1219,1353
2,Dhule,Rural,30-34,85612,41541,44071,59285,37164,22121,15923,3691,12232,4643,2155,2488,10404,686,9718,1116,348,768
2,Dhule,Rural,35-39,87809,43097,44712,62180,39335,22845,15797,3274,12523,4292,1799,2493,9832,488,9344,795,176,619
2,Dhule,Rural,40-49,127872,67309,60563,91798,61766,30032,21382,4706,16676,5124,2102,3022,14692,837,13855,875,166,709
2,Dhule,Rural,50-59,74929,38088,36841,48765,33295,15470,12685,2992,9693,2053,867,1186,13479,1801,11678,528,139,389
2,Dhule,Rural,60-69,82212,34686,47526,33294,22332,10962,12737,3796,8941,1417,546,871,36181,8558,27623,783,170,613
2,Dhule,Rural,70-79,34142,15867,18275,7366,5851,1515,2728,1354,1374,220,117,103,24048,8662,15386,319,92,227
2,Dhule,Rural,80+,8756,3702,5054,1002,756,246,412,205,207,42,20,22,7342,2741,4601,33,18,15
2,Dhule,Urban,05-09,48874,25684,23190,126,104,22,37,19,18,7,5,2,48711,25561,23150,207,107,100
2,Dhule,Urban,10-14,55536,29452,26084,837,702,135,336,204,132,108,76,32,54363,28546,25817,657,444,213
2,Dhule,Urban,15-19,50278,27335,22943,5924,5370,554,1548,1065,483,622,507,115,42806,20900,21906,4520,3115,1405
2,Dhule,Urban,20-24,44321,24241,20080,13280,12174,1106,2117,1444,673,986,811,175,28924,10623,18301,5608,3785,1823
2,Dhule,Urban,25-29,35583,17292,18291,15735,13975,1760,1849,969,880,784,543,241,17999,2348,15651,2329,1146,1183
2,Dhule,Urban,30-34,32433,16414,16019,17305,15118,2187,1648,678,970,603,385,218,13480,618,12862,991,296,695
2,Dhule,Urban,35-39,31032,15526,15506,16990,14604,2386,1587,575,1012,549,301,248,12455,347,12108,600,114,486
2,Dhule,Urban,40-49,44571,24016,20555,25981,22518,3463,1905,785,1120,607,340,267,16685,713,15972,524,120,404
2,Dhule,Urban,50-59,25410,13677,11733,12819,11300,1519,863,400,463,223,134,89,11728,1977,9751,274,113,161
2,Dhule,Urban,60-69,21339,9153,12186,4544,3680,864,838,348,490,159,69,90,15957,5125,10832,149,72,77
2,Dhule,Urban,70-79,9468,4432,5036,1250,1072,178,233,124,109,36,25,11,7985,3236,4749,45,21,24
