Area_Name,Total_Rural_Urban,Age_Group,Population_Persons,Population_Males,Population_Females,Main_Workers_Persons,Main_Workers_Males,Main_Workers_Females,Marginal_Seeking_Persons,Marginal_Seeking_Males,Marginal_Seeking_Females,Non_Workers_Total_Persons,Non_Workers_Total_Males,Non_Workers_Total_Females,Non_Workers_Seeking_Persons,Non_Workers_Seeking_Males,Non_Workers_Seeking_Females,District_Code,Marginal_0_to_6_Persons,Marginal_0_to_6_Males,Marginal_0_to_6_Females
20,0,0,163846,84016,79830,4100,2113,1987,280,137,143,158270,81187,77083,1134,555,579,1,1476,716,760
20,0,1,169724,87280,82444,12465,6176,6289,1803,843,960,150661,78226,72435,2165,1185,980,1,6598,2878,3720
20,0,2,143816,73032,70784,45187,22859,22328,7184,3491,3693,82569,43677,38892,8605,4870,3735,1,16060,6496,9564
20,0,3,122491,59942,62549,72419,38718,33701,8641,4207,4434,32232,14722,17510,6509,3738,2771,1,17840,6502,11338
20,0,4,102623,51639,50984,73859,42786,31073,6491,3078,3413,14595,3937,10658,2688,1295,1393,1,14169,4916,9253
20,0,5,90343,44102,46241,69092,39204,29888,4729,2111,2618,9724,1335,8389,1150,375,775,1,11527,3563,7964
20,0,6,85798,42498,43300,67015,38401,28614,4115,1797,2318,8431,966,7465,797,237,560,1,10352,3131,7221
20,0,7,143963,72420,71543,112780,65931,46849,6097,2560,3537,14280,1515,12765,1007,269,738,1,16903,4974,11929
20,0,8,94030,47610,46420,70496,42503,27993,3191,1388,1803,13194,1970,11224,610,193,417,1,10340,3137,7203
20,0,9,69263,31798,37465,41157,24167,16990,1818,761,1057,20470,5065,15405,541,163,378,1,7636,2566,5070
20,0,10,29875,13601,16274,11806,7593,4213,536,264,272,15322,4837,10485,193,67,126,1,2747,1171,1576
20,0,11,8776,3948,4828,2581,1601,980,109,59,50,5561,2071,3490,38,21,17,1,634,276,358
20,1,0,26140,14178,11962,806,430,376,40,22,18,25174,13655,11519,111,65,46,1,160,93,67
20,1,1,32647,19044,13603,1475,860,615,144,82,62,30793,17986,12807,354,212,142,1,379,198,181
20,1,2,32921,18665,14256,4131,2975,1156,575,350,225,27644,14985,12659,3015,2184,831,1,1146,705,441
20,1,3,28054,14981,13073,7739,6174,1565,795,535,260,18762,7840,10922,3701,2445,1256,1,1553,967,586
