District_Code,Area_Name,Total_Rural_Urban,Age_Group,Population_Persons,Population_Males,Population_Females,Main_Workers_Persons,Main_Workers_Males,Main_Workers_Females,Marginal_0_to_6_Persons,Marginal_0_to_6_Males,Marginal_0_to_6_Females,Non_Workers_Total_Persons,Non_Workers_Total_Males,Non_Workers_Total_Females,Non_Workers_Seeking_Persons,Non_Workers_Seeking_Males,Non_Workers_Seeking_Females
1,10,1,0,2006223,1042857,963366,25460,18810,6650,2220,1350,870,1978543,1022697,955846,19330,10200,9130
1,10,1,1,945925,523264,422661,175675,146364,29311,8930,6020,2910,761320,370880,390440,24940,15430,9510
1,10,1,2,1089173,614230,474943,490363,414360,76003,15740,11330,4410,583070,188540,394530,32780,20950,11830
1,10,1,3,1031851,567192,464659,587742,507172,80570,9780,6470,3310,434329,53550,380779,15040,8550,6490
1,10,1,4,863645,492355,371290,534545,464765,69780,7010,4130,2880,322090,23460,298630,7380,3320,4060
1,10,1,5,776200,438600,337600,485920,417430,68490,6290,3240,3050,283990,17930,266060,4760,2180,2580
1,10,1,6,1073802,632151,441651,681421,594001,87420,8100,4360,3740,384281,33790,350491,6230,2790,3440
1,10,1,7,637912,368556,269356,346126,307610,38516,4090,2590,1500,287696,58356,229340,3217,1467,1750
1,10,1,8,341210,183260,157950,82970,74260,8710,1750,1270,480,256490,107730,148760,2170,1030,1140
1,10,1,9,124100,62750,61350,15610,13710,1900,520,390,130,107970,48650,59320,860,420,440
1,10,1,10,49830,22610,27220,4860,4270,590,100,60,40,44870,18280,26590,480,220,260
2,27,0,0,450822,233123,217699,25640,12730,12910,8990,2220,6770,416192,218173,198019,3890,2160,1730
2,27,0,1,165232,85402,79830,76620,43040,33580,13090,2460,10630,75522,39902,35620,1860,1200,660
2,27,0,2,164713,80152,84561,112422,67052,45370,16020,1680,14340,36271,11420,24851,1350,870,480
2,27,0,3,165238,80873,84365,126848,77743,49105,14870,850,14020,23520,2280,21240,380,190,190
2,27,0,4,140197,71477,68720,110727,69737,40990,12250,530,11720,17220,1210,16010,180,90,90
2,27,0,5,127284,68900,58384,102594,67470,35124,10310,430,9880,14380,1000,13380,80,0,80
2,27,0,6,181021,96050,84971,143581,93100,50481,15690,730,14960,21750,2220,19530,170,70,100
2,27,0,7,114035,60025,54010,78965,54625,24340,9570,800,8770,25500,4600,20900,230,50,180
2,27,0,8,69247,33717,35530,29560,21590,7970,4667,847,3820,35020,11280,23740,290,80,210
2,27,0,9,22760,10930,11830,4830,3990,840,740,280,460,17190,6660,10530,240,130,110
2,27,0,10,9600,4410,5190,1450,1090,360,220,60,160,7930,3260,4670,50,40,10
2,27,1,0,739287,386215,353072,11890,9480,2410,800,420,380,726597,376315,350282,10315,5535,4780
